Review Text,Overall Rating,Origin,Destination,Flight Type,Date of Travel,Legroom,Seat Comfort,In-flight Entertainment,Customer Service,Value for Money,Cleanliness,Check-in and Boarding,Food and Beverage
BA consistently have truly awful customer service. We made our connecting flight to find BA had cancelled our booking and they would not allow us to board. They never told us they were cancelling it. Then had to wait in 4 hour queue to speak to anyone. Phone lines just disconnect you saying they are busy. Unfortunately not the first terrible customer service I’ve had with BA. Would strongly recommend flying another airline and I certainly will be in the future,1.0,Glasgow,Colombo,International,January 2025,N/A,N/A,N/A,1.0,N/A,N/A,N/A,N/A
"As expected British Airways delayed flight 6 times. No notification from them, only from airport app. Can't use snow as an excuse, there isn't any at Gatwick. I don't think we have taken a BA flight in the past few years that has not been delayed. Their service is atrocious.",1.0,London,Lanzarote,Europe,January 2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Careless services due to bages handling as i received my bags after two weeks in broken condition along with the stuff inside. They did not even refund a single dollar for damage.,1.0,New Delhi,Toronto,International,June 2024,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Plane started to board around 11am. Then stopped and un boarded. A380 sat all day with engineers working on engines. BA kept extending departure time until around 5pm when they cancelled flight. Took until 8pm to get bags and go to hotel. Flew following day to LAX with hellish transfer to SFA. BA don’t have many A380’s and have no spares. Return flight also delayed 2.5hrs. Planes desperate for
Refurbishment. Gaffer tape used to repair broken storage bins on upper deck. Economy seats foam has become hard, interiors are tatty and food is as bad as hospital food. Remember when BA was good. Won’t be back for more.",1.0,London,San Francisco,International,December 2024,4.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0
Heathrow and baggage a massive consistent issue for BA.  I am currently sat waiting and waiting again it's every time with BA no bags . It'll be 20 mins then 20 mins.  I am waiting for them to hand out the free crisps and drinks like they did last time .  It's a reflection on British society a one great nation/airline now a complete shower of,1.0,Las Vegas,London,International,January 2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"First flight of 2025: 2 hours of delays. No water provided. In 2024, out of 8 BA flights I took, only one was on time, and three were canceled.",1.0,London,Nice,Europe,January 2025,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"Terrible service on arrival at BA terminal 5.  Waited over 90 minutes for baggage delivery 

Wait for baggage longer than the flight

Customer care team advised this was normal due to chronic understaffing 

This terrible airline is best avoided 

It is a disgrace and should no longer hold the status of National Flag Carrier",1.0,Inverness,London,Domestic,January 2025,3.0,3.0,1.0,1.0,1.0,2.0,4.0,1.0
"We had real trouble trying to check in online for our flight and were left with the chatbot which was no help at all, I don’t know why companies persist with these stupid systems which infuriate customers.  We eventually found a way to ‘speak’ to someone on live chat and still couldn’t help us.  We had to leave it until the airport and got there with more time to spare and the difference was night & day.  The lady at check-in was helpful & efficient and had no problems at all, would suggest BA bin the chatbot, make it easier to speak to someone and retrain their online staff.

As for the flight, it went as planned, the flight crew were good with Alejandro being very helpful.  Announcements were timely, well delivered and just the right amount to not be too intrusive.  Food was good although could have done with more bottled water on a 14 hour flight.  We were supplied with headphones, cushion & blanket but surprised there wasn’t an eye mask, ear plugs and toothbrush with toothpaste for a night time flight which we had received on other carriers.

Beware if you want to sit together as a group you will need to pay extra or take the lottery of finding seats together for free when check-in opens 24 hours before departure.  On a long flight as a family of 4, 2 of them young children I found this distasteful - BA aren’t the only ones Qatar did this as well, however, Qantas didn’t and of all the airlines BA charged the most for this ‘privilege’.

In short - scheduling, check-in staff & in flight crew very good; entertainment package average; charging for sitting together as a family and online customer service very poor.",3.0,Singapore,London,International,January 2025,4.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0
"The worst airline! 

Issue with staff spilling deicing component meaning that our flight got delayed by 90 minutes due to missed slots because 1st deicing took longer than expected.",1.0,London,Canton of Geneva,Europe,January 2025,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"On November 26, 2023, my son and I traveled via the Underground to Heathrow Airport for our return flight home to San Diego after a wonderful visit to London and Dublin.  However, we were unaware that the Underground was not serving Terminal 5 that day.  We ended up at Terminal 2, where we were directed to take a bus to Terminal 5; however, the bus was not there.  Instead, we took a taxi.  When we arrived, we were not allowed to proceed to the gate, despite not having any checked baggage.  The employee stated that it was too late, that we were not the only passengers affected by the lack of Underground service and bus service, and that British Airways had re-booked the other displaced passengers at NO charge on another flight.  However, when Josephine and George (British Airways employees) tried to call British Airways customer service via their internal line, they were placed on hold for over an hour!  They tried calling with three different phones with the same result!  I myself called using another number I found online but was told I needed to call the same customer service number.  Finally, Josephine reached a live person, only to be told that my son and I would have to pay £4,000 for two tickets to San Diego!  Hello, what??!!?!  £4,000???  The other passengers in the same situation as we were had been re-booked at NO charge! Why were we being treated differently?  This is disparate treatment and discrimination on the part of British Airways.  Other passengers who missed their flight due to lack of Underground service were NOT being charged to take another flight, but we had to pay? It was clear that Josephine (bless her heart for trying) was just as confused and angry as we were.

Frustrated and despondent, my son and I approached another British Airways employee, Miguel.  Miguel also tried to re-book us at no charge but was denied.  Since it seemed the only way we were going to get home was to buy a brand new, duplicate ticket, Miguel advised that we book round-trip tickets as they were cheaper than one-way tickets.  

Because of the disparate treatment, inequality, and discrimination on your part, my son and I were forced to purchase another airline ticket for the next day, Monday, 11/27/23 to Phoenix, AZ and then connecting to San Diego, CA.  In addition, we had to stay overnight in a hotel only to come back to the airport the next morning to take the new flight, which by the way, was delayed about two hours, causing us to just barely catch our connecting flight from Phoenix, AZ to San Diego, CA.  We also incurred costs for transportation, meals and foreign transaction fees as a result of this unequal treatment.  My total refund / reimbursement request is $2,416.64.  I opened a case with BA but this took months and my request was denied despite all my efforts going back to them and calling.  I opened a case with Centre for Effective Dispute Resolution CEDR as suggested by BA.  This also took months and was denied.  Neither BA nor CEDR ever acknowledged that BA had acted in a discriminatory manner towards my son and me.  BA, you still owe me $2,416.64, and I will NOT fly with you again.",1.0,San Diego,London,International,February 2024,2.0,2.0,3.0,2.0,1.0,2.0,1.0,2.0
"First time on BA First.  I have experienced BA in business and economy before.
First, is first for a reason I suppose.  The care and personality of attendants were superb.  I didn't get both their names, I think one was Hana, and I didn't even think to look up the other's tag or ask her name.  But I was quite sick from my almost gone flu but they noticed I was sick, and was extra kind asking me if I needed more tea to sooth my coughing.  This season's flu is no fun.  They provided with hot tea, throughout the flight.  
There were a few others to relieve the two, and I don't recall how many but at least two members.  Both were also very helpful and kind.
They all were asking me if I needed something, before I even thought about asking, but the hot tea and the honey, and sometimes snacks were helpful in making my trip much more comfortable, than I was worried I would have to endure.

The seats are well designed, with full recline.  The screen is a extra large (bigger than business).  Selection of movies and music were very good.  The headphones comfortable, not sure if they were noise cancelling, but drowned out the noise very well.   The various storage compartments were nice.  Hanging closet, foot locker (two), arm locker, and head locker. Every odd stuff I had tucked in nicely for easy access.

Food selections were good, and were very enjoyable.  The 'Afternoon Tea' service was very good, and again the tea helped me a lot.  They gave me a whole teapot full of English Tea.

Noticing my need for for liquids, they also gave me new bottles as I finished them off again before asking.

If I have a chance to fly first again, I would do it again.

I thought BA's business was pretty good, but they go extra on first.  

First class, you get your own check in area, followed by security line, and your own special lounge area.  I was there without breakfast quite early, but they basically have a restaurant that serves you a full menu breakfast of choice.
I had a Full English Breakfast, and sausage, bacon were first class, and eggs were done perfectly.  The potatoes, and beans were done nicely too.  I had black coffee that was brewed perfectly, and i liked the flavor of their default blend.  I was glad I skipped breakfast at the hotel, and had it in the lounge instead.

The lounge area have living room type seating, that were comfortable enough to make you sleepy, and enough to go around for everyone and still be someone private, if one desired to be left alone, and also, a more busy bar, and sitting area section where you could be more interactive.

Thank you BA for making my trip very pleasurable.",5.0,London,Seattle,International,December 2024,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
"I paid £780 for a direct flight from islamabad to Gatwick london which left me disappointed not because of money i paid for which i know high but i was travelling for an urgent family matter 
But during flight i was feeling a bit peckish and requested a cold drink .
But the air crew members response left me speechless 
She said we don't do cold drink on this flight 
Upon asking she replied thar we only offer alcoholic beverages and juices 
I told them i drink alcohol and i just want a diet coke or pepsi as i was not feeling well but they didnt provide 
I have been travelling for years on different air lines but this one was the worst and wont be travelling again",1.0,Islamabad,London,International,November 2024,2.0,2.0,3.0,1.0,1.0,1.0,3.0,1.0
"I have been disappointed for some time with air travel. Overcrowding and cramped leg room on most flights. I flee from Malaga to BVI via Gatwick & Antigua.  The journey wss terrible. However the return journey from Antigua (grossly overcrowded in the airport) was the best I have experienced. Hence the review. Excelllent leg room with feet rests. Very comfotable seats, blankets etc. Regular drinks and good food, all free. Served throughout the 8 hour trip by the wonderful Scarlet. Helpful,friendly, incredibly efficient with a constant smile! Brilliant. Its 6am and I'm very happy.",5.0,Antigua,London,International,January 2025,5.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0
"Having travelled on BA275 flight new years eve ,we where all very disapointed 
One of the main reasons for not recomending to future travellers was the space between the seats ,we sat on rows 32 & 33 .
Unfortunately for my wife she had a 'Recliner' for close to the 10hrs .
I was disappointed in the crew when food service took place ,that they did not ask the 'Recliner 'noto lift her seat up which made eating very difficult & uncomfortable.
As for my meal the air hostess skiped me & went on (I was not asleep)
I had to go & ask her to know could she serve me ,she did apologise .
We are normal people & not oversized ,have flown Qatar & Etihed many times .
Overall if Ryanair where to do longhaul this is what I'd expect but not British Airways 
Try find another airline ,personnely dont think we will use again & thankfully for us our return journey is with Americian Airlines",2.0,London,Las Vegas,International,December 2024,1.0,1.0,2.0,2.0,3.0,4.0,4.0,3.0
"Shockingly Disappointing Experience with a Once Renowned Airline

I was downgraded without any prior warning and only informed at the gate—an incredibly unprofessional and frustrating experience. This is not the level of service I expected from an airline that used to pride itself on excellence.

Compared to other airlines, the food quality is poor, and you get significantly less space, making long-haul flights uncomfortable and far from worth the cost.

What’s worse is their clear disregard for customer care and loyalty. Since the pandemic, this airline seems to have lost its way, laying off staff recklessly and overbooking flights—all while reducing the quality of their services.

Only giving me an email to try reach for my refund.

I will never fly with this airline again. Once a symbol of premium service, it has now become a frustrating, subpar experience. If you value your time, money, and dignity, look elsewhere.",1.0,Doha,London,International,December 2024,1.0,1.0,3.0,2.0,2.0,2.0,3.0,1.0
"For a dinner a got a totally deep frozen plate with  humus, fruit salad and chicken shawarma, non of the dishes were edible, everything was deep frozen, BA never defrosted it for me. I never got replacement or any offer of food.
Chicken shawarma supposed to be a cold meal but it was shawarma ice block, humus as well.
For a breakfast I experienced the same situation - my plate was completely deep  frozen, I could not eat anything at all and I am not fancy beef ice cream. When I did complain to a BA staff member I got an answer that they received Kosher food totally frozen and it was no time to defrost it. I never got any additional food and I was left without breakfast. I requested to talk to the manager and the lady came to me and she was not really helpful, she took ma details on very crumpled sticker from a food box which highly disrespectful for me. She never offered me any food only small box of chocolate and she offered me to provide banana or apple after such a long time without dinner and breakfast. I asked hot tea with milk, after good few minutes I received lukewarm tea. At this stage I stopped to talk to any of BA staff member as I felt totally ignored for unknown known reason.
The Staff was not nice to each other, we could hear not nice conversations and it was looking like the staff had no proper training and had no cabin crew briefing. We had to leave our food trays on the floor as we had to fold our tables before landing and no one came to collect rubbish.",1.0,Philadelphia,London,International,December 2024,3.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0
"This is by far the worst airline you can choose! They should be more like a 3 star airline. They cancelled my flight and I was traveling alone with 3 children. My flight left the following day and they booked myself and young children on separate seats. They also rebooked my connecting flight from Johannesburg but gave me an eight hour wait, while I had a 3 hour wait previously. All the people at the help desk gave me different stories and attitudes. After much begging (and tears) they put us seated 2 and 2, so I was still separated from my two young children. I also got a transit time of 3 hours after they rebooked my connecting flight (at first they refused and said they can’t). Really avoid this horrible airline at all costs.",1.0,London,Johannesburg,International,December 2024,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
"Most uncomfortable seats we have ever sat in. Also, we almost froze to death! I asked for blankets, but they could only find one. Food was pretty bad, and one meal wasn’t even served due to illness of a flight attendant. Will avoid this airline like the plague in the future.",2.0,Toronto,London,International,December 2024,2.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0
"I have had a good experience with BA previously, and the recent travel to Marrakech was not as pleasant as expected. 
On the return flight, we were seated in row 36 - towards the back of the plane, there was a mix of pleasant staff and rude staff. Two of the staff were rude, and their service to other passengers, including ourselves, was appalling. Now, we had to buy everything except water. When asked for water on a 3hr 40-minute flight, it was not accepted cordially and was delayed by these 2 staff. My son got so upset that he ended up buying 2 bottles of water, as he was not happy with the attitude of the staff. When we were buying the coffee ( which was bad anyway ) the flight steward was impatient and did not even wait for me to complete my order and was happy to go away with my coffee order only. I had to call him back and complete the order for drinks and coffee for myself and the kids. I could not help but advice the steward that he was being extremely rude and not valuing us as passengers. He did apologise after a bit of defensive arguments, which was accepted. The other air hostess was banging the food trolley on the aisle seats and did not even say sorry for her behaviour. While she was serving the drinks and passengers were waiting behind her to go to the toilet, she opened the overhead baggage storage and banged it so hard - twice, that it opened up again and another passenger, had to gently shut the overhead baggage storage, which remained shut. Sania the other air hostess, was extremely polite and was talking and attending to the passengers with a smile on her face.  
A smile costs nothing !!
We paid £600 + for each ticket, and perhaps the budget airlines would have been a better deal on these so-called ' short-haul flights '.... 3 hrs 40 minute flight ??
Overall, it was pretty obvious why passengers are reverting to other Airlines and BA if possible. Previously I/we used to take pride in BA as the best airline, but sadly now my thoughts are not so positive. 
BA needs to get its act together or else the Emirates, Qatar, Swiss Air, and KLM  etc .... will be taking up all their customers.
Sorry BA, cannot support our own Airlines.",2.0,Marrakech,London,International,December 2024,1.0,1.0,1.0,1.0,1.0,4.0,5.0,1.0
"Had  a very  comfortable relaxing  BWA flight back from UK  few days ago , departure and arrival on time under 10 hours non stop flight , fast check in with priority boarding   clean  interior  aircraft  cabins with friendly professional flight  attendant  , seat  very comfortable  spacious lot of leg room , hot tasty meal  ( BEEF ) ,  good selection  of  in flight  entertainment  , over all the experience I had with  BWA is exceptional  , it will be  my first choice  airline fly to UK for sure !",4.0,London,Vancouver,International,December 2024,5.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0
"My recent experience with British Airways was an absolute disaster. From start to finish, their incompetence, lack of professionalism, and complete disregard for their customers made for one of the most frustrating travel experiences I have ever endured.

It began at London City Airport, where I was pressured into checking in my carry-on bag despite my reluctance. I was assured that “everything would be handled.” Instead, this decision turned my holiday into a nightmare. Upon arriving at Palma de Mallorca airport, my bag was nowhere to be found. To make matters worse, there was no British Airways representative at the airport to assist. I was handed a phone number for a call centre, which only added to the frustration.

The call centre staff informed me that I would receive an update within 48 hours - an absurd timeframe considering my holiday was only three days long. I was left without clothes or essential toiletries, which completely ruined the trip. Although I was told I could claim reimbursement for these expenses, the stress and inconvenience were unbearable.

To make matters worse, I have been forced to coordinate between British Airways, another airline, PMI Airport, and London City Airport to try to locate my bag, as nobody seems to know where it is. British Airways eventually claimed the bag never left London City due to an apparent tagging error. However, they have since admitted that they cannot locate the bag and it is officially lost. Despite this, they continue to say they cannot declare it lost until 21 days have passed—an utterly ridiculous policy when it is clear they have no idea where the bag is.

I have incurred international call charges trying to resolve the issue, wasting hours of my holiday speaking to different representatives who all gave conflicting information. The lack of coordination and accountability is appalling.

The call centre staff were unhelpful, unable to escalate my concerns or connect me with anyone who could provide meaningful assistance. Representatives hung up on me or promised to call back but never did. When I attempted to lodge a formal complaint, I was told the only way to do so was via an online form. After submitting my claim, I received no response or explanation, and it was not until I called that the call centre rep and I both learned at the same time that my claim had been closed without any reasoning.

This ordeal consumed my entire holiday, leaving me stressed, frustrated, and stranded without basic necessities. British Airways’ inability to perform such a fundamental task as baggage handling, compounded by their refusal to take responsibility or provide any meaningful support, is utterly disgraceful.

I would strongly advise anyone considering flying with British Airways to think twice. Their disorganisation, lack of accountability, and complete disregard for customer care make them an appalling choice for travel. After this experience, I have no intention of ever flying with British Airways again.",1.0,London,Palma de Mallorca,Europe,December 2024,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
"One of the worst airlines in the world ( and I have travelled a lot ). Their employees are just impolite, their service is bad. Never again.",1.0,Düsseldorf,Edinburgh,Europe,December 2024,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
I am not happy with the buisness class on this service on.tge 31st December 2024 it was not like buisness class at all it was like  economy as no curtain on aircraft to separate the buisness class from economy not worth the money but the crew are fantastic but as for the extra charge for me to go buisness class is appalling I wod never go buisness class again with British airways,1.0,London,Cairo,International,December 2024,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
I find BA the safest and the most reliable airline. Flying with them whenever I can. Prices are reasonable and service is always good. I trust British pilots the most. You can probably say some negative thigs too like food on the long haul flights but food was never the strongest point of UK anyway so this is just a small detail.,5.0,Warsaw,London,Europe,December 2024,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
"Flight attendants non responsive..very lazy and don't care even calling for assistance from seat..it took 20min for them to appear after I called them..limited food options..outdated in-flight entertainment system..touch screen doesn't work properly..B788 is worst of BA FLIGHTS..few positives《 hand carry allowance, baggage allowance, leg room in Premium Economy》",2.0,London,Chennai (Madras),International,November 2024,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
British Airways in flight service and lounges always impress. The airport staff are also always helpful and pleasant. That’s where the good experience ends. Their online/phone customer service and overall operations are completely awful. Walking down steps in a modern airport to board an aircraft in the rain via airstairs while there is a perfectly serviceable jet bridge right next to the aircraft simply boggles the mind. Parking the aircraft at the edge of the airport property and bussing the passengers to the terminal passing empty gates with serviceable jet bridges along the way is simply inexcusable. I feel badly that the impressive and helpful flight staff and in airport staff have to deal with the fallout of a poorly run airline.,2.0,Edinburgh,London,Domestic,December 2024,4.0,3.0,3.0,5.0,3.0,4.0,2.0,3.0
"British Airways has gone downhill. One of their positives used to be the generous legroom, but unfortunately, they’ve become greedy and significantly reduced it. Now, if you’re 5’10” or taller, your knees are practically touching the back of the seat in front of you. It’s terrible—passengers are crammed together like sardines.

As a previous regular customer, I’m very disappointed. The last six flights I’ve taken with them this year all had the same issue. I’ll be avoiding British Airways from now on.",1.0,London,Prague,Europe,December 2024,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"Beware that if you purchase a ticket on American Airlines even though they are part of the 'One World Alliance' you will not get the same benefits on British Airways.   As a platinum member of American Airlines I booked my flight directly on American's website, used an American Airlines Credit Card to pay for the ticket -this should have entitled me to 1 free checked bag person.  I was given British Airways on my return flight without any advance notice that it would mean I would have to pay a 45BP per bag fee on the flight. (4 people traveling)  The result was a total of over $200 more for my return flight.  Contacting AA on my return was of no help--they directed me to BA and said they would not negotiate on my behalf.  After back and forth they did eventually give me some additional miles but still said I should contact BA directly for any refund.   The BA customer service rep on the phone was as combative and rude as the person who checked us in in London and no refund.   They said I had purchased a fair with 'no baggage'-news to me!  Bottom line don't expect the 'One World' to be one world.",1.0,London,Tampa,International,December 2024,4.0,4.0,4.0,1.0,1.0,5.0,1.0,4.0
"I would love to be able to talk to someone at BA to discuss the refund for the flight they cancelled but their telephone message says they're too busy and then terminates the call.
Don't hide behind excuses, hire more people and provide a decent service to your customers.",2.0,Belfast,London,Domestic,December 2024,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Third flight of the year with BA, third out of three to disappoint. I went for Premium Economy after having been let down by a previous Business Class flight. I had paid extra to get an assigned seat and was not near the back of the cabin. As had occured previously in Business Class they ran out of my meal choice (Roast Chicken breast) and, because every other remaining choice contained aliums (onions or garlic) as did the remaining meals in Business Class, I got a plate of fruit for my tranatlantic flight. Even the snacks had chives. The national airline can provide a special Indian Jain meal however I'm not vegetarian nor keen on Indian cuisine. The fact that the plainer meal options keep running out may provide a clue as to passenger tastes. Will I again be paying extra money to starve ? No, I'll fly with another airline.",1.0,London,Nashville,International,October 2024,5.0,5.0,5.0,2.0,2.0,4.0,5.0,1.0
We had no idea that BA can put you on standby despite having brought a normal ticket with baggage due to weight restrictions. Not sure if this is normal or just from London City Airport. An incredibly stressful start to our holiday. We did thankfully get on,2.0,London,Florence,Europe,December 2024,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Just returned to London. Flight number BA60 on 29th December. We were
amazed by the excellent  performance of BA’s pilots. The landing was so smooth. We travel a lots, we are very pleased.

B & S",5.0,Male,London,International,December 2024,2.0,2.0,4.0,4.0,4.0,4.0,4.0,3.0
Never again Terminal 5 is not fit for purpose I would rather lie in the middle of the M25 than fly out of this crap airport please close it down delayed delays delayed,1.0,London,Frankfurt,Europe,December 2024,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Absolutely awful! This is twice you guys cancelled our flights… You cancelled mine from Bordeaux to London by giving a 3 hour notice and now you have just cancelled my boyfriends flight from London to Bordeaux with less than 2 hours notice. You messed up once and we gave you a second chance but messing up twice… we won’t fly with you anymore. Anyone reading this who wants a direct flight from Gatwick to Bordeaux use Easy Jet as they are actually reliable and don’t cancel their flights.,1.0,London,Bordeaux,Europe,December 2024,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"I took around 40 flights with these clowns in the last 18 months. Whenever weather conditions are not pure sunshine, these guys cancel the flight. This year it happened 4 times.. When you try to call the service hotline never works and the website was seemingly build using the hardware of a toaster, nothing ever works and there is no one you can speak to. A classic move of theirs is also to tell you that your flight wont leave until you are at the airport. When you try to speak to someone in person at the airport, all you get is someone in a very bad mood telling you to call a number that wont work. Its a shame as I collected many points etc. but at this point it is more convenient to travel by jetski.",1.0,London,Dublin,Europe,December 2024,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"1- Took us six hours and thirty minutes should of been approximately five hours and a half.
2- business plus was the same as the economy class but instead they had a hot breakfast
3- All the staff look grumpy with a look of disgust. The plane was one of the newly bought airliners by BA and its extremely small, no leg room, and uncomfortable seats. They made wiz air look like a professional airline.
4- Food was cold and terrible. They gave us hummus that expires in 2027. The egg roll and the Falafel were close to the temperature of absolute zero.
5-  6 hours of engine noise so loud it blew my brain into pieces 
6- When i tried to postpone my flight another 2 days, i had to call them about 20 times in which they answered twice. Took them about 30min to tell me they cannot delay my flight as they cannot calculate the paid difference, then they came back with a number that hit me like a brick wall. 719£ pounds for 2 people.  i could just book 4 one way flights from Amman to the UK with that price. Absolutely unacceptable, unprofessional l, and im never flying BA again…",1.0,Amman,London,International,December 2024,1.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0
"My journey began on a nightmarish note when I arrived at the airport to discover that my flight to Edinburgh (RAS5HJ) had been cancelled. The situation quickly became frustrating as I approached British Airways staff for assistance, only to be sent from one person to another without receiving any real help. 

At around 5:10 AM, I was handed a customer service card, but the office didn’t open until 8 AM. The only alternative offered was a flight from Belfast, which meant I would have to wait all day for my final leg to Edinburgh. This left me feeling incredibly distressed and helpless.

However, my experience took a turn for the better when I reached the G section in Terminal 5 at Heathrow. There, I met Sony Khuttan, who was not only extremely helpful but also genuinely empathetic. He took the time to listen to my concerns and helped me book an alternative flight directly to Edinburgh. 

I wish British Airways had more staff like Sony who are dedicated to their jobs and truly care about their customers, rather than just pushing them from one section to another. 

Thank you, Sony, for your invaluable 
assistance. I genuinely appreciate your help in turning a distressing situation into a manageable one.",1.0,London,Edinburgh,Domestic,December 2024,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
BA is the worst airline. i will never fly again. They lost my bags in London Heathrow. After two days they sent it to Cologne where the lowest bidder (CGA) acts as a agent but they only work sometimes and not usually for baggage so i ended up never getting  my bags. even when i went to the airport and saw my bags at baggage tracing i couldn't get it because CGA was off for 2 days. it has been 2 weeks and BA doesn't know where my bag is. You can only complain in writing by snail mail. so don't expect anything anytime soon,1.0,Houston,Bonn,International,December 2024,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
"I was thirsty. 
My crew cabin light had been on for 30 mins - no response. If I was having a fit/emergency whilst my seat partners were asleep....
When I eventually got up and went to the back for water, no one in the kitchen, i found 2 membwrs of cabin crew sleeping behind the crew curtains. I politely asked for some water, they said to ask colleagues 'out there' I said 'there is no one out here'. The lady responded they will have water in their trolleys.'  The colleagues referred to were actually in the premium cabin so I hadn't seen them earlier.
I made my way to one of them to ask for a glass of water. I downed it and  requested a second.  He reluctantly served it and said 'Ma'am you should have waited in your seat.' I responded my crew cabin light has been on for only half an hour' and he just sniggered. Why should anyone have to wait 40 minutes for a glass of water on a flight? I stopped flying BA on the Lagos - London route because I witnessed cabin crew member repeatedly yell at a very elderly man who needed the toilet when the lights for the seat belts came on. He may have had issues with incontinence -  no compassion. 19 years later no adjustment or evolution of your values or standards of customer care on that route.  Not one of them cracked a smile whilst serving as if we were a burden!
 What a shame. I have flown BA to Athens and it was a very different experience. People are people on whatever route.  If you have better standards than these please replicate them globally.",2.0,Lagos,London,International,December 2024,3.0,2.0,3.0,1.0,2.0,4.0,3.0,3.0
"Absolutely terrible experience with British Airways. Our flight was cancelled, and they put us on a flight the next day, which wasn’t possible because it would cause us to miss our connecting flight. Spent two hours on the phone with their customer service team (based in India), going around in circles with no solutions.

They repeatedly offered us the option to cancel and book new flights—for five times the original price. What a joke. After wasting two hours of my time, they finally managed to book us on a suitable flight.

This was, without a doubt, the worst customer service experience I’ve ever had. Poor communication, no helpful answers, and a complete lack of understanding of the situation. Never flying with British Airways again.",1.0,London,Dublin,Europe,December 2024,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"I am boarding a flight from Manchester to Chicago 
Last check before boarding- where you get passport and boarding pass checked. The man was extremely rude in front my two children!!!
I am disgusted the way he spoke to me. I am carrying 6 passports for 3 of us due to having visa in one and valid passport the other. 
He had zero patience 
Rude
Just bad reputation for your name!! 
I couldnt get his name. I didnt want to carry on the tone he had in front my children",1.0,Manchester,Chicago,International,December 2024,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Good, thoughtful service on board, punctual take off and landing at a bargain price. Topped off by my duty free haul delivered to my seat!",5.0,London,Rome,Europe,November 2024,4.0,4.0,N/A,5.0,5.0,5.0,5.0,3.0
"To provide context, I have been a regular traveller around the world for well over 30 years on business and have used many different airlines.  I was a BA gold card holder for over 15 years until I recently retired and held several frequent flyer cards with other airlines, so I can remember the days, long ago, when BA was one of the world’s leading airlines.  The airline business has become more competitive at the lower, cheaper end of the scale leading to reduced space and comfort for economy class travel and BA is no exception to this change.

I recently travelled BA from Sharm El Sheikh Airport, Egypt to London Gatwick business class and the level of service was extremely poor as was the quality of the seating for the price paid.  Seats were economy standard with the middle seat left free.  They were hard, uncomfortable and did not recline properly which, for a five and a half hour flight is unacceptable when paying a substantially increased cost for what should be a much higher level of comfort.  The cabin staff were surly to the point of rudeness and generally unhelpful on this particular flight; they did not pay any attention to business class passengers.  At one point, when we needed a blanket because of a cold draught entering the cabin by the exit door, we had to go to the back of business class seating area where the cabin crew were seated and chatting to each other, totally indifferent to our needs.  They only had four blankets for the flight, all of which had been used.  This poor level of service and discomfort is not what one should expect in business class on any BA flight.

This five and a half hour flight was operated as a European service which, frankly, is stretching geographical limits to the extreme as we flew over part of Africa before crossing the Sinai Peninsula which it in Asia.  I note that EgyptAir use proper business class seats on their London-Cairo route, which I shall use if I travel to Egypt again.  

A week later I travelled economy class return from London to Nice.  The seats were basically the same although this did not bother me as the ticket price was competitively priced and it was only a short flight.  Cabin crew were excellent, helpful and attentive both ways; the flight crew provided useful information on flight progress and we left Heathrow on time.

Why the huge disparity of service from cabin crew (and comfort) between an expensive business class flight from Gatwick to Sharm El Sheikh and an economy class flight to Nice?  This sums up the dilemma of travelling British Airways.",2.0,Sharm El Sheikh,London,International,December 2024,1.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0
"I had a very positive experience flying internationally with British Air.  Great food and service too.  The only negative is when they lost one of my bags and accidentally put two of them on the wrong carousel, forcing me to hunt for them myself.  They eventually found my one missing bag and hand delivered it to my home two weeks later.",4.0,Atlanta,London,International,December 2024,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
